date,state,variant,users
2025-02-01,AtRiskMAU,control,7
2025-02-01,AtRiskMAU,treatment,12
2025-02-01,AtRiskWAU,control,11
2025-02-01,AtRiskWAU,treatment,9
2025-02-01,Current,control,9
2025-02-01,Current,treatment,6
2025-02-01,Dormant,control,3
2025-02-01,Dormant,treatment,4
2025-02-01,New,control,1
2025-02-01,New,treatment,1
2025-02-01,Reactivated,control,1
2025-02-02,AtRiskMAU,control,7
2025-02-02,AtRiskMAU,treatment,12
2025-02-02,AtRiskWAU,control,12
2025-02-02,AtRiskWAU,treatment,11
2025-02-02,Current,control,9
2025-02-02,Current,treatment,5
2025-02-02,Dormant,control,4
2025-02-02,Dormant,treatment,3
2025-02-02,New,control,1
2025-02-02,New,treatment,1
2025-02-02,Resurrected,treatment,1
2025-02-03,AtRiskMAU,control,5
2025-02-03,AtRiskMAU,treatment,13
2025-02-03,AtRiskWAU,control,13
2025-02-03,AtRiskWAU,treatment,12
2025-02-03,Current,control,7
2025-02-03,Current,treatment,5
2025-02-03,Dormant,control,5
2025-02-03,Dormant,treatment,3
2025-02-03,New,control,1
2025-02-03,New,treatment,1
2025-02-03,Reactivated,control,2
2025-02-03,Resurrected,control,1
2025-02-04,AtRiskMAU,control,4
2025-02-04,AtRiskMAU,treatment,14
2025-02-04,AtRiskWAU,control,14
2025-02-04,AtRiskWAU,treatment,11
2025-02-04,Current,control,10
2025-02-04,Current,treatment,5
2025-02-04,Dormant,control,5
2025-02-04,Dormant,treatment,3
2025-02-04,New,control,1
2025-02-04,New,treatment,1
2025-02-04,Reactivated,control,1
2025-02-04,Resurrected,treatment,1
2025-02-05,AtRiskMAU,control,4
2025-02-05,AtRiskMAU,treatment,13
2025-02-05,AtRiskWAU,control,15
2025-02-05,AtRiskWAU,treatment,12
2025-02-05,Current,control,9
2025-02-05,Current,treatment,4
2025-02-05,Dormant,control,6
2025-02-05,Dormant,treatment,4
2025-02-05,New,control,1
2025-02-05,New,treatment,1
2025-02-05,Reactivated,control,1
2025-02-05,Reactivated,treatment,1
2025-02-05,Resurrected,treatment,1
2025-02-06,AtRiskMAU,control,6
2025-02-06,AtRiskMAU,treatment,15
2025-02-06,AtRiskWAU,control,13
2025-02-06,AtRiskWAU,treatment,11
2025-02-06,Current,control,11
2025-02-06,Current,treatment,6
2025-02-06,Dormant,control,6
2025-02-06,Dormant,treatment,3
2025-02-06,New,control,1
2025-02-06,New,treatment,1
2025-02-06,Resurrected,treatment,1
2025-02-07,AtRiskMAU,control,7
2025-02-07,AtRiskMAU,treatment,12
2025-02-07,AtRiskWAU,control,18
2025-02-07,AtRiskWAU,treatment,12
2025-02-07,Current,control,5
2025-02-07,Current,treatment,6
2025-02-07,Dormant,control,6
2025-02-07,Dormant,treatment,3
2025-02-07,New,control,1
2025-02-07,New,treatment,1
2025-02-07,Reactivated,treatment,3
2025-02-07,Resurrected,control,1
2025-02-07,Resurrected,treatment,1
2025-02-08,AtRiskMAU,control,9
2025-02-08,AtRiskMAU,treatment,13
2025-02-08,AtRiskWAU,control,14
2025-02-08,AtRiskWAU,treatment,13
2025-02-08,Current,control,7
2025-02-08,Current,treatment,8
2025-02-08,Dormant,control,5
2025-02-08,Dormant,treatment,3
2025-02-08,New,control,1
2025-02-08,New,treatment,1
2025-02-08,Reactivated,control,1
2025-02-08,Reactivated,treatment,1
2025-02-08,Resurrected,control,2
2025-02-09,AtRiskMAU,control,10
2025-02-09,AtRiskMAU,treatment,15
2025-02-09,AtRiskWAU,control,18
2025-02-09,AtRiskWAU,treatment,11
2025-02-09,Current,control,5
2025-02-09,Current,treatment,9
2025-02-09,Dormant,control,6
2025-02-09,Dormant,treatment,2
2025-02-09,New,control,1
2025-02-09,New,treatment,1
2025-02-09,Resurrected,treatment,2
2025-02-10,AtRiskMAU,control,9
2025-02-10,AtRiskMAU,treatment,14
2025-02-10,AtRiskWAU,control,20
2025-02-10,AtRiskWAU,treatment,15
2025-02-10,Current,control,2
2025-02-10,Current,treatment,6
2025-02-10,Dormant,control,8
2025-02-10,Dormant,treatment,2
2025-02-10,New,control,1
2025-02-10,New,treatment,1
2025-02-10,Reactivated,control,1
2025-02-10,Reactivated,treatment,2
2025-02-10,Resurrected,treatment,1
2025-02-11,AtRiskMAU,control,12
2025-02-11,AtRiskMAU,treatment,14
2025-02-11,AtRiskWAU,control,16
2025-02-11,AtRiskWAU,treatment,17
2025-02-11,Current,control,4
2025-02-11,Current,treatment,6
2025-02-11,Dormant,control,8
2025-02-11,Dormant,treatment,2
2025-02-11,New,control,1
2025-02-11,New,treatment,1
2025-02-11,Reactivated,treatment,2
2025-02-11,Resurrected,control,1
2025-02-12,AtRiskMAU,control,11
2025-02-12,AtRiskMAU,treatment,15
2025-02-12,AtRiskWAU,control,15
2025-02-12,AtRiskWAU,treatment,19
2025-02-12,Current,control,5
2025-02-12,Current,treatment,6
2025-02-12,Dormant,control,8
2025-02-12,Dormant,treatment,2
2025-02-12,New,control,1
2025-02-12,New,treatment,1
2025-02-12,Reactivated,control,2
2025-02-12,Resurrected,control,1
2025-02-13,AtRiskMAU,control,14
2025-02-13,AtRiskMAU,treatment,14
2025-02-13,AtRiskWAU,control,10
2025-02-13,AtRiskWAU,treatment,22
2025-02-13,Current,control,9
2025-02-13,Current,treatment,3
2025-02-13,Dormant,control,7
2025-02-13,Dormant,treatment,2
2025-02-13,New,control,1
2025-02-13,New,treatment,1
2025-02-13,Reactivated,control,1
2025-02-13,Reactivated,treatment,1
2025-02-13,Resurrected,control,2
2025-02-13,Resurrected,treatment,1
2025-02-14,AtRiskMAU,control,15
2025-02-14,AtRiskMAU,treatment,15
2025-02-14,AtRiskWAU,control,11
2025-02-14,AtRiskWAU,treatment,20
2025-02-14,Current,control,10
2025-02-14,Current,treatment,4
2025-02-14,Dormant,control,8
2025-02-14,Dormant,treatment,2
2025-02-14,New,control,1
2025-02-14,New,treatment,1
2025-02-14,Reactivated,treatment,2
2025-02-14,Resurrected,treatment,1
2025-02-15,AtRiskMAU,control,16
2025-02-15,AtRiskMAU,treatment,15
2025-02-15,AtRiskWAU,control,8
2025-02-15,AtRiskWAU,treatment,21
2025-02-15,Current,control,9
2025-02-15,Current,treatment,5
2025-02-15,Dormant,control,9
2025-02-15,Dormant,treatment,2
2025-02-15,New,control,1
2025-02-15,New,treatment,1
2025-02-15,Reactivated,control,3
2025-02-15,Reactivated,treatment,2
2025-02-16,AtRiskMAU,control,16
2025-02-16,AtRiskMAU,treatment,19
2025-02-16,AtRiskWAU,control,12
2025-02-16,AtRiskWAU,treatment,17
2025-02-16,Current,control,9
2025-02-16,Current,treatment,8
2025-02-16,Dormant,control,9
2025-02-16,Dormant,treatment,2
2025-02-16,New,control,1
2025-02-16,New,treatment,1
2025-02-17,AtRiskMAU,control,17
2025-02-17,AtRiskMAU,treatment,20
2025-02-17,AtRiskWAU,control,13
2025-02-17,AtRiskWAU,treatment,17
2025-02-17,Current,control,7
2025-02-17,Current,treatment,6
2025-02-17,Dormant,control,10
2025-02-17,Dormant,treatment,3
2025-02-17,New,control,1
2025-02-17,New,treatment,1
2025-02-17,Reactivated,treatment,1
2025-02-18,AtRiskMAU,control,17
2025-02-18,AtRiskMAU,treatment,23
2025-02-18,AtRiskWAU,control,14
2025-02-18,AtRiskWAU,treatment,16
2025-02-18,Current,control,6
2025-02-18,Current,treatment,5
2025-02-18,Dormant,control,11
2025-02-18,Dormant,treatment,3
2025-02-18,New,control,1
2025-02-18,New,treatment,1
2025-02-18,Reactivated,treatment,1
2025-02-19,AtRiskMAU,control,17
2025-02-19,AtRiskMAU,treatment,24
2025-02-19,AtRiskWAU,control,15
2025-02-19,AtRiskWAU,treatment,14
2025-02-19,Current,control,5
2025-02-19,Current,treatment,6
2025-02-19,Dormant,control,11
2025-02-19,Dormant,treatment,3
2025-02-19,New,control,1
2025-02-19,New,treatment,1
2025-02-19,Reactivated,treatment,1
2025-02-19,Resurrected,control,1
2025-02-19,Resurrected,treatment,1
2025-02-20,AtRiskMAU,control,18
2025-02-20,AtRiskMAU,treatment,21
2025-02-20,AtRiskWAU,control,15
2025-02-20,AtRiskWAU,treatment,18
2025-02-20,Current,control,4
2025-02-20,Current,treatment,3
2025-02-20,Dormant,control,9
2025-02-20,Dormant,treatment,3
2025-02-20,New,control,1
2025-02-20,New,treatment,1
2025-02-20,Reactivated,control,2
2025-02-20,Reactivated,treatment,4
2025-02-20,Resurrected,control,2
2025-02-20,Resurrected,treatment,1
2025-02-21,AtRiskMAU,control,18
2025-02-21,AtRiskMAU,treatment,21
2025-02-21,AtRiskWAU,control,16
2025-02-21,AtRiskWAU,treatment,19
2025-02-21,Current,control,7
2025-02-21,Current,treatment,7
2025-02-21,Dormant,control,8
2025-02-21,Dormant,treatment,3
2025-02-21,New,control,1
2025-02-21,New,treatment,1
2025-02-21,Reactivated,treatment,1
2025-02-21,Resurrected,control,2
2025-02-22,AtRiskMAU,control,19
2025-02-22,AtRiskMAU,treatment,21
2025-02-22,AtRiskWAU,control,20
2025-02-22,AtRiskWAU,treatment,18
2025-02-22,Current,control,5
2025-02-22,Current,treatment,7
2025-02-22,Dormant,control,8
2025-02-22,Dormant,treatment,5
2025-02-22,New,control,1
2025-02-22,New,treatment,1
2025-02-22,Reactivated,treatment,1
2025-02-23,AtRiskMAU,control,19
2025-02-23,AtRiskMAU,treatment,20
2025-02-23,AtRiskWAU,control,18
2025-02-23,AtRiskWAU,treatment,17
2025-02-23,Current,control,5
2025-02-23,Current,treatment,8
2025-02-23,Dormant,control,8
2025-02-23,Dormant,treatment,4
2025-02-23,New,control,1
2025-02-23,New,treatment,1
2025-02-23,Reactivated,control,3
2025-02-23,Reactivated,treatment,3
2025-02-23,Resurrected,treatment,1
2025-02-24,AtRiskMAU,control,20
2025-02-24,AtRiskMAU,treatment,21
2025-02-24,AtRiskWAU,control,17
2025-02-24,AtRiskWAU,treatment,21
2025-02-24,Current,control,6
2025-02-24,Current,treatment,8
2025-02-24,Dormant,control,9
2025-02-24,Dormant,treatment,4
2025-02-24,New,control,1
2025-02-24,New,treatment,1
2025-02-24,Reactivated,control,2
2025-02-25,AtRiskMAU,control,21
2025-02-25,AtRiskMAU,treatment,24
2025-02-25,AtRiskWAU,control,16
2025-02-25,AtRiskWAU,treatment,15
2025-02-25,Current,control,7
2025-02-25,Current,treatment,11
2025-02-25,Dormant,control,9
2025-02-25,Dormant,treatment,4
2025-02-25,New,control,1
2025-02-25,New,treatment,1
2025-02-25,Reactivated,control,1
2025-02-25,Resurrected,control,1
2025-02-25,Resurrected,treatment,1
2025-02-26,AtRiskMAU,control,24
2025-02-26,AtRiskMAU,treatment,25
2025-02-26,AtRiskWAU,control,15
2025-02-26,AtRiskWAU,treatment,16
2025-02-26,Current,control,8
2025-02-26,Current,treatment,7
2025-02-26,Dormant,control,9
2025-02-26,Dormant,treatment,5
2025-02-26,New,control,1
2025-02-26,New,treatment,1
2025-02-26,Reactivated,treatment,2
2025-02-26,Resurrected,treatment,1
2025-02-27,AtRiskMAU,control,24
2025-02-27,AtRiskMAU,treatment,25
2025-02-27,AtRiskWAU,control,17
2025-02-27,AtRiskWAU,treatment,19
2025-02-27,Current,control,6
2025-02-27,Current,treatment,5
2025-02-27,Dormant,control,9
2025-02-27,Dormant,treatment,6
2025-02-27,New,control,1
2025-02-27,New,treatment,1
2025-02-27,Reactivated,control,1
2025-02-27,Reactivated,treatment,2
2025-02-28,AtRiskMAU,control,25
2025-02-28,AtRiskMAU,treatment,27
2025-02-28,AtRiskWAU,control,15
2025-02-28,AtRiskWAU,treatment,17
2025-02-28,Current,control,7
2025-02-28,Current,treatment,7
2025-02-28,Dormant,control,8
2025-02-28,Dormant,treatment,7
2025-02-28,New,control,1
2025-02-28,New,treatment,1
2025-02-28,Reactivated,control,1
2025-02-28,Resurrected,control,2
2025-03-01,AtRiskMAU,control,26
2025-03-01,AtRiskMAU,treatment,25
2025-03-01,AtRiskWAU,control,17
2025-03-01,AtRiskWAU,treatment,17
2025-03-01,Current,control,6
2025-03-01,Current,treatment,6
2025-03-01,Dormant,control,9
2025-03-01,Dormant,treatment,8
2025-03-01,New,control,1
2025-03-01,New,treatment,1
2025-03-01,Reactivated,control,1
2025-03-01,Reactivated,treatment,2
2025-03-01,Resurrected,treatment,1
2025-03-02,AtRiskMAU,control,29
2025-03-02,AtRiskMAU,treatment,27
2025-03-02,AtRiskWAU,control,16
2025-03-02,AtRiskWAU,treatment,18
2025-03-02,Current,control,5
2025-03-02,Current,treatment,6
2025-03-02,Dormant,control,8
2025-03-02,Dormant,treatment,8
2025-03-02,New,control,1
2025-03-02,New,treatment,1
2025-03-02,Resurrected,control,2
2025-03-02,Resurrected,treatment,1
2025-03-03,AtRiskMAU,control,27
2025-03-03,AtRiskMAU,treatment,25
2025-03-03,AtRiskWAU,control,20
2025-03-03,AtRiskWAU,treatment,19
2025-03-03,Current,control,2
2025-03-03,Current,treatment,5
2025-03-03,Dormant,control,11
2025-03-03,Dormant,treatment,7
2025-03-03,New,control,1
2025-03-03,New,treatment,1
2025-03-03,Reactivated,control,1
2025-03-03,Reactivated,treatment,3
2025-03-03,Resurrected,treatment,2
2025-03-04,AtRiskMAU,control,31
2025-03-04,AtRiskMAU,treatment,27
2025-03-04,AtRiskWAU,control,14
2025-03-04,AtRiskWAU,treatment,22
2025-03-04,Current,control,6
2025-03-04,Current,treatment,5
2025-03-04,Dormant,control,11
2025-03-04,Dormant,treatment,6
2025-03-04,New,control,1
2025-03-04,New,treatment,1
2025-03-04,Reactivated,treatment,1
2025-03-04,Resurrected,treatment,1
2025-03-05,AtRiskMAU,control,31
2025-03-05,AtRiskMAU,treatment,29
2025-03-05,AtRiskWAU,control,13
2025-03-05,AtRiskWAU,treatment,19
2025-03-05,Current,control,6
2025-03-05,Current,treatment,7
2025-03-05,Dormant,control,11
2025-03-05,Dormant,treatment,5
2025-03-05,New,control,1
2025-03-05,New,treatment,1
2025-03-05,Reactivated,control,1
2025-03-05,Reactivated,treatment,2
2025-03-05,Resurrected,control,1
2025-03-05,Resurrected,treatment,1
2025-03-06,AtRiskMAU,control,29
2025-03-06,AtRiskMAU,treatment,29
2025-03-06,AtRiskWAU,control,15
2025-03-06,AtRiskWAU,treatment,17
2025-03-06,Current,control,4
2025-03-06,Current,treatment,9
2025-03-06,Dormant,control,10
2025-03-06,Dormant,treatment,7
2025-03-06,New,control,1
2025-03-06,New,treatment,1
2025-03-06,Reactivated,control,3
2025-03-06,Reactivated,treatment,2
2025-03-06,Resurrected,control,3
2025-03-07,AtRiskMAU,control,32
2025-03-07,AtRiskMAU,treatment,29
2025-03-07,AtRiskWAU,control,14
2025-03-07,AtRiskWAU,treatment,18
2025-03-07,Current,control,7
2025-03-07,Current,treatment,10
2025-03-07,Dormant,control,9
2025-03-07,Dormant,treatment,7
2025-03-07,New,control,1
2025-03-07,New,treatment,1
2025-03-07,Reactivated,control,1
2025-03-07,Reactivated,treatment,1
2025-03-07,Resurrected,control,2
2025-03-08,AtRiskMAU,control,30
2025-03-08,AtRiskMAU,treatment,28
2025-03-08,AtRiskWAU,control,20
2025-03-08,AtRiskWAU,treatment,17
2025-03-08,Current,control,3
2025-03-08,Current,treatment,11
2025-03-08,Dormant,control,12
2025-03-08,Dormant,treatment,6
2025-03-08,New,control,1
2025-03-08,New,treatment,1
2025-03-08,Reactivated,control,1
2025-03-08,Reactivated,treatment,3
2025-03-08,Resurrected,treatment,1
2025-03-09,AtRiskMAU,control,33
2025-03-09,AtRiskMAU,treatment,28
2025-03-09,AtRiskWAU,control,15
2025-03-09,AtRiskWAU,treatment,21
2025-03-09,Current,control,6
2025-03-09,Current,treatment,10
2025-03-09,Dormant,control,13
2025-03-09,Dormant,treatment,6
2025-03-09,New,control,1
2025-03-09,New,treatment,1
2025-03-09,Reactivated,treatment,1
2025-03-09,Resurrected,treatment,1
2025-03-10,AtRiskMAU,control,32
2025-03-10,AtRiskMAU,treatment,28
2025-03-10,AtRiskWAU,control,18
2025-03-10,AtRiskWAU,treatment,20
2025-03-10,Current,control,4
2025-03-10,Current,treatment,12
2025-03-10,Dormant,control,12
2025-03-10,Dormant,treatment,8
2025-03-10,New,control,1
2025-03-10,New,treatment,1
2025-03-10,Reactivated,control,1
2025-03-10,Resurrected,control,1
2025-03-11,AtRiskMAU,control,32
2025-03-11,AtRiskMAU,treatment,25
2025-03-11,AtRiskWAU,control,17
2025-03-11,AtRiskWAU,treatment,24
2025-03-11,Current,control,7
2025-03-11,Current,treatment,8
2025-03-11,Dormant,control,12
2025-03-11,Dormant,treatment,10
2025-03-11,New,control,1
2025-03-11,New,treatment,1
2025-03-11,Reactivated,control,1
2025-03-11,Reactivated,treatment,1
2025-03-11,Resurrected,treatment,1
2025-03-12,AtRiskMAU,control,33
2025-03-12,AtRiskMAU,treatment,25
2025-03-12,AtRiskWAU,control,14
2025-03-12,AtRiskWAU,treatment,28
2025-03-12,Current,control,8
2025-03-12,Current,treatment,5
2025-03-12,Dormant,control,12
2025-03-12,Dormant,treatment,9
2025-03-12,New,control,1
2025-03-12,New,treatment,1
2025-03-12,Reactivated,control,3
2025-03-12,Reactivated,treatment,2
2025-03-12,Resurrected,treatment,1
2025-03-13,AtRiskMAU,control,30
2025-03-13,AtRiskMAU,treatment,26
2025-03-13,AtRiskWAU,control,15
2025-03-13,AtRiskWAU,treatment,24
2025-03-13,Current,control,9
