event_date,app_open,lesson_completed,lesson_started
2025-04-07,567,378,431
2025-04-08,530,360,417
2025-04-09,551,366,438
2025-04-10,548,354,418
2025-04-11,576,395,452
2025-04-12,572,373,439
2025-04-13,586,407,466
2025-04-14,602,408,467
2025-04-15,643,438,512
2025-04-16,661,469,524
2025-04-17,727,501,580
2025-04-18,691,455,533
2025-04-19,712,461,554
2025-04-20,738,505,578
2025-04-21,740,496,589
2025-04-22,773,513,594
2025-04-23,801,519,617
2025-04-24,820,536,631
2025-04-25,851,583,666
2025-04-26,830,567,655
2025-04-27,845,571,665
2025-04-28,887,583,679
2025-04-29,919,605,708
2025-04-30,934,625,721
2025-05-01,959,645,755
2025-05-02,1041,710,804
2025-05-03,1080,722,852
2025-05-04,1027,691,802
2025-05-05,971,666,778
2025-05-06,1086,725,851
2025-05-07,1140,763,905
2025-05-08,1205,811,931
2025-05-09,1227,837,957
2025-05-10,1304,864,999
2025-05-11,1207,830,967
2025-05-12,1256,832,980
2025-05-13,1333,880,1024
2025-05-14,1415,970,1117
2025-05-15,1397,937,1056
2025-05-16,1437,961,1118
2025-05-17,1473,963,1121
2025-05-18,1448,941,1112
2025-05-19,1446,987,1126
2025-05-20,1462,994,1142
2025-05-21,1560,1034,1227
2025-05-22,1722,1166,1317
2025-05-23,1689,1146,1312
2025-05-24,1770,1199,1384
2025-05-25,1705,1115,1309
2025-05-26,1670,1121,1309
2025-05-27,1744,1162,1336
2025-05-28,1860,1244,1465
2025-05-29,1954,1296,1509
2025-05-30,2020,1361,1570
2025-05-31,1957,1331,1521
2025-06-01,1958,1315,1550
2025-06-02,1974,1298,1517
2025-06-03,1983,1324,1547
2025-06-04,2103,1418,1647
2025-06-05,2172,1483,1724
2025-06-06,2216,1493,1739
2025-06-07,2193,1451,1694
2025-06-08,2132,1465,1671
2025-06-09,2149,1463,1677
2025-06-10,2290,1525,1771
2025-06-11,2348,1578,1831
2025-06-12,2426,1613,1898
2025-06-13,2480,1626,1887
2025-06-14,2502,1703,1952
2025-06-15,2436,1589,1886
2025-06-16,2466,1671,1933
2025-06-17,2469,1649,1929
2025-06-18,2565,1731,2001
2025-06-19,2664,1791,2069
2025-06-20,2644,1759,2033
2025-06-21,2679,1794,2095
2025-06-22,2697,1771,2076
2025-06-23,2657,1756,2051
2025-06-24,2775,1873,2166
2025-06-25,2852,1907,2242
2025-06-26,2934,2018,2362
2025-06-27,2991,1969,2294
2025-06-28,2996,1969,2314
2025-06-29,2967,2001,2304
2025-06-30,3016,2001,2340
2025-07-01,2984,2006,2338
2025-07-02,3138,2117,2478
2025-07-03,3157,2090,2440
2025-07-04,3199,2144,2483
2025-07-05,3264,2222,2571
2025-07-06,3084,2104,2416
2025-07-07,3111,2147,2444
2025-07-08,3106,2072,2422
2025-07-09,3206,2193,2535
2025-07-10,3288,2198,2513
2025-07-11,3303,2201,2565
2025-07-12,3321,2245,2602
2025-07-13,3382,2261,2599
2025-07-14,3192,2130,2470
2025-07-15,3341,2190,2545
2025-07-16,3427,2285,2653
2025-07-17,3497,2308,2694
2025-07-18,3336,2225,2583
2025-07-19,3417,2291,2671
2025-07-20,3381,2268,2623
2025-07-21,3427,2254,2637
2025-07-22,3436,2331,2691
2025-07-23,3603,2450,2835
2025-07-24,3724,2512,2911
2025-07-25,3742,2467,2886
2025-07-26,3710,2492,2885
2025-07-27,3609,2392,2800
2025-07-28,3630,2454,2829
2025-07-29,3652,2447,2851
2025-07-30,3831,2571,2968
2025-07-31,3803,2497,2926
2025-08-01,3796,2535,2946
2025-08-02,3802,2559,2959
2025-08-03,3779,2541,2974
2025-08-04,3735,2476,2893
2025-08-05,3647,2449,2828
2025-08-06,3923,2590,3027
2025-08-07,3981,2671,3137
2025-08-08,4037,2641,3127
2025-08-09,4013,2649,3106
2025-08-10,3945,2668,3126
2025-08-11,3979,2668,3115
2025-08-12,4109,2728,3187
2025-08-13,4110,2769,3228
2025-08-14,4201,2835,3280
2025-08-15,4260,2858,3327
2025-08-16,4337,2924,3418
2025-08-17,4141,2778,3223
2025-08-18,4083,2680,3144
2025-08-19,4306,2891,3366
2025-08-20,4314,2889,3357
2025-08-21,4387,2960,3438
2025-08-22,4423,2990,3457
2025-08-23,4361,2925,3409
2025-08-24,4293,2863,3345
2025-08-25,4210,2836,3280
2025-08-26,4300,2822,3326
2025-08-27,4357,2925,3396
2025-08-28,4563,3080,3580
2025-08-29,4561,3110,3573
2025-08-30,4473,2961,3463
2025-08-31,4540,3101,3553
2025-09-01,4343,2934,3388
2025-09-02,4366,2962,3460
2025-09-03,4631,3049,3584
2025-09-04,4631,3117,3643
2025-09-05,4757,3199,3712
2025-09-06,4681,3187,3671
2025-09-07,4511,3013,3515
2025-09-08,4632,3115,3612
2025-09-09,4647,3130,3637
2025-09-10,4716,3079,3620
2025-09-11,4865,3279,3791
2025-09-12,4816,3209,3732
2025-09-13,4847,3269,3780
2025-09-14,4791,3239,3747
2025-09-15,4650,3152,3659
2025-09-16,4824,3172,3718
2025-09-17,4852,3259,3782
2025-09-18,5113,3472,4014
2025-09-19,5122,3492,4016
2025-09-20,5064,3360,3913
2025-09-21,5002,3365,3894
2025-09-22,5002,3368,3903
2025-09-23,5024,3411,3944
2025-09-24,5257,3468,4056
2025-09-25,5141,3451,4007
2025-09-26,5334,3596,4154
2025-09-27,5261,3470,4081
2025-09-28,5164,3487,4015
2025-09-29,5236,3517,4065
2025-09-30,5239,3572,4086
2025-10-01,5442,3686,4261
2025-10-02,5485,3695,4297
2025-10-03,5524,3643,4272
2025-10-04,5540,3722,4299
2025-10-05,5339,3570,4138
2025-10-06,5295,3490,4081
2025-10-07,5474,3624,4219
2025-10-08,5570,3729,4317
2025-10-09,5798,3875,4520
2025-10-10,5745,3823,4450
2025-10-11,5786,3884,4543
2025-10-12,5572,3800,4360
2025-10-13,5493,3671,4291
2025-10-14,5670,3764,4372
2025-10-15,5686,3799,4443
2025-10-16,5873,3945,4601
2025-10-17,5892,4007,4637
2025-10-18,5870,3888,4553
2025-10-19,5723,3801,4424
2025-10-20,5658,3764,4422
2025-10-21,5675,3809,4434
2025-10-22,5791,3835,4496
2025-10-23,5927,3953,4619
2025-10-24,6078,4040,4736
2025-10-25,5987,4027,4680
2025-10-26,5992,3967,4632
2025-10-27,5872,3850,4542
2025-10-28,5932,3970,4629
2025-10-29,6064,4007,4659
2025-10-30,6143,4106,4777
2025-10-31,6143,4193,4831
2025-11-01,6194,4140,4818
2025-11-02,6200,4119,4857
2025-11-03,5970,4030,4703
2025-11-04,6035,4088,4713
2025-11-05,6183,4139,4807
2025-11-06,6368,4290,4966
2025-11-07,6567,4464,5191
2025-11-08,6325,4266,4921
2025-11-09,6273,4231,4914
2025-11-10,6338,4306,4949
2025-11-11,6133,4056,4763
2025-11-12,6456,4315,5012
2025-11-13,6605,4412,5140
2025-11-14,6543,4380,5092
2025-11-15,6507,4361,5056
2025-11-16,6374,4303,4972
2025-11-17,6273,4252,4902
2025-11-18,6459,4357,5029
2025-11-19,6527,4427,5124
2025-11-20,6793,4617,5336
2025-11-21,6675,4555,5277
2025-11-22,6750,4525,5289
2025-11-23,6617,4422,5152
2025-11-24,6402,4296,4951
2025-11-25,6590,4448,5153
2025-11-26,6668,4476,5186
2025-11-27,6900,4634,5367
2025-11-28,6850,4575,5309
2025-11-29,6828,4542,5295
2025-11-30,6753,4534,5272
2025-12-01,6625,4465,5170
2025-12-02,6637,4443,5172
2025-12-03,6836,4555,5291
2025-12-04,7001,4695,5468
2025-12-05,7113,4726,5540
2025-12-06,6905,4634,5368
2025-12-07,6848,4547,5295
2025-12-08,6785,4583,5331
2025-12-09,6852,4582,5314
2025-12-10,6933,4661,5427
2025-12-11,7062,4864,5617
2025-12-12,7237,4833,5618
2025-12-13,7192,4846,5606
2025-12-14,6958,4709,5422
2025-12-15,7010,4669,5489
2025-12-16,6936,4634,5364
2025-12-17,7114,4704,5485
2025-12-18,7256,4818,5577
2025-12-19,7431,5005,5778
2025-12-20,7279,4891,5684
2025-12-21,7254,4833,5634
2025-12-22,7036,4732,5537
2025-12-23,7019,4609,5382
2025-12-24,7222,4849,5656
2025-12-25,7401,4960,5763
2025-12-26,7500,4939,5809
2025-12-27,7479,5091,5872
2025-12-28,7344,4976,5747
2025-12-29,7437,4966,5774
2025-12-30,7323,4989,5772
2025-12-31,7562,5029,5801
